Entity,Code,Year,Share of total municipal solid waste collected
Mauritania,MRT,2020,65.28197
Mauritius,MUS,2020,98
Mayotte,MYT,2020,97.6901
Mexico,MEX,2020,93.4
Micronesia (country),FSM,2020,8
Moldova,MDA,2020,77.26673
Monaco,MCO,2020,100
Mongolia,MNG,2020,90.747826
Montenegro,MNE,2020,96.99
Montserrat,MSR,2020,92.902275
Morocco,MAR,2020,86
Mozambique,MOZ,2020,52.5
Myanmar,MMR,2020,60
Namibia,NAM,2020,23.6
Nauru,NRU,2020,100
Nepal,NPL,2020,94
Netherlands,NLD,2020,100
Netherlands Antilles,ANT,2020,97.6901
New Caledonia,NCL,2020,67
New Zealand,NZL,2020,97
Nicaragua,NIC,2020,92.3
Niger,NER,2020,36.47612
Nigeria,NGA,2020,45.6861
Niue,NIU,2020,94.95234
Norfolk Island,NFK,2020,95
North Korea,PRK,2020,77.100365
North Macedonia,MKD,2020,76.61
Northern Mariana Islands,MNP,2020,99.29029
Norway,NOR,2020,99
Oman,OMN,2020,100
Pakistan,PAK,2020,52
Palau,PLW,2020,77
Palestine,PSE,2020,92.2
Panama,PAN,2020,84.9
Papua New Guinea,PNG,2020,60
Paraguay,PRY,2020,51
Peru,PER,2020,82.93
Philippines,PHL,2020,66.05336
Poland,POL,2020,100
Portugal,PRT,2020,100
Puerto Rico,PRI,2020,92.902275
Qatar,QAT,2020,100
Reunion,REU,2020,97.6901
Romania,ROU,2020,90
Russia,RUS,2020,84.74976
Rwanda,RWA,2020,36.47612
Saint Helena,SHN,2020,92.902275
Saint Kitts and Nevis,KNA,2020,98
Saint Lucia,LCA,2020,100
Saint Martin (French part),MAF,2020,92.902275
Saint Pierre,,2020,92.902275
Saint Vincent and the Grenadines,VCT,2020,91
Samoa,WSM,2020,100
San Marino,SMR,2020,98.792366
Sao Tome and Principe,STP,2020,48.4
Saudi Arabia,SAU,2020,100
Senegal,SEN,2020,21.4
Serbia,SRB,2020,74.67
Seychelles,SYC,2020,95
Sierra Leone,SLE,2020,44
Singapore,SGP,2020,100
Sint Maarten (Dutch part),SXM,2020,92.902275
Slovakia,SVK,2020,100
Slovenia,SVN,2020,93.84
Solomon Islands,SLB,2020,12
Somalia,SOM,2020,36.47612
South Africa,ZAF,2020,23.6
South Korea,KOR,2020,99.92
South Sudan,SSD,2020,36.47612
Spain,ESP,2020,100
Sri Lanka,LKA,2020,52
Sudan,SDN,2020,36.47612
Suriname,SUR,2020,80
Svalbard,,2020,75.86
Sweden,SWE,2020,100
Switzerland,CHE,2020,99
Syria,SYR,2020,80
Taiwan,TWN,2020,99.9789
Tajikistan,TJK,2020,38.25
Tanzania,TZA,2020,48
Thailand,THA,2020,90.747826
Togo,TGO,2020,36.47612
Tokelau,TKL,2020,95
Tonga,TON,2020,71
Trinidad and Tobago,TTO,2020,100
Tunisia,TUN,2020,95
Turkey,TUR,2020,88.12
Turkmenistan,TKM,2020,84.74976
Turks and Caicos Islands,TCA,2020,92.902275
Tuvalu,TUV,2020,47
Uganda,UGA,2020,39
Ukraine,UKR,2020,75.86
United Arab Emirates,ARE,2020,98.14322
United Kingdom,GBR,2020,100
United States,USA,2020,100
United States Virgin Islands,VIR,2020,92.902275
Uruguay,URY,2020,98
Uzbekistan,UZB,2020,77.26673
Vanuatu,VUT,2020,12
Venezuela,VEN,2020,100
Vietnam,VNM,2020,72
Yemen,YEM,2020,20
Zambia,ZMB,2020,20
Zimbabwe,ZWE,2020,45.6861
